"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat quinquennal","Nombre"
2008,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","25-29 anys",12
2008,7,"Horta-Guinardó",42,"la Clota","Dona","25-29 anys",1
2008,7,"Horta-Guinardó",43,"Horta","Dona","25-29 anys",58
2008,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","25-29 anys",62
2008,8,"Nou Barris",45,"Porta","Dona","25-29 anys",66
2008,8,"Nou Barris",46,"el Turó de la Peira","Dona","25-29 anys",34
2008,8,"Nou Barris",47,"Can Peguera","Dona","25-29 anys",11
2008,8,"Nou Barris",48,"la Guineueta","Dona","25-29 anys",33
2008,8,"Nou Barris",49,"Canyelles","Dona","25-29 anys",7
2008,8,"Nou Barris",50,"les Roquetes","Dona","25-29 anys",34
2008,8,"Nou Barris",51,"Verdun","Dona","25-29 anys",38
2008,8,"Nou Barris",52,"la Prosperitat","Dona","25-29 anys",71
2008,8,"Nou Barris",53,"la Trinitat Nova","Dona","25-29 anys",23
2008,8,"Nou Barris",54,"Torre Baró","Dona","25-29 anys",3
2008,8,"Nou Barris",55,"Ciutat Meridiana","Dona","25-29 anys",12
2008,8,"Nou Barris",56,"Vallbona","Dona","25-29 anys",7
2008,9,"Sant Andreu",57,"la Trinitat Vella","Dona","25-29 anys",24
2008,9,"Sant Andreu",58,"Baró de Viver","Dona","25-29 anys",10
2008,9,"Sant Andreu",59,"el Bon Pastor","Dona","25-29 anys",30
2008,9,"Sant Andreu",60,"Sant Andreu","Dona","25-29 anys",188
2008,9,"Sant Andreu",61,"la Sagrera","Dona","25-29 anys",92
2008,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","25-29 anys",42
2008,9,"Sant Andreu",63,"Navas","Dona","25-29 anys",56
2008,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","25-29 anys",152
2008,10,"Sant Martí",65,"el Clot","Dona","25-29 anys",80
2008,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","25-29 anys",42
2008,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","25-29 anys",32
2008,10,"Sant Martí",68,"el Poblenou","Dona","25-29 anys",105
2008,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","25-29 anys",45
2008,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","25-29 anys",39
2008,10,"Sant Martí",71,"Provençals del Poblenou","Dona","25-29 anys",60
2008,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","25-29 anys",66
2008,10,"Sant Martí",73,"la Verneda i la Pau","Dona","25-29 anys",46
2008,99,"No consta",99,"No consta","Dona","25-29 anys",4
2008,1,"Ciutat Vella",1,"el Raval","Dona","30-34 anys",312
2008,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","30-34 anys",157
2008,1,"Ciutat Vella",3,"la Barceloneta","Dona","30-34 anys",122
2008,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","30-34 anys",273
