Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloc_procedencia,Nombre
2016,1,Ciutat Vella,2,el Barri Gòtic,Castella i Lleó,15
2016,1,Ciutat Vella,3,la Barceloneta,Castella i Lleó,6
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Castella i Lleó,11
2016,2,Eixample,5,el Fort Pienc,Castella i Lleó,17
2016,2,Eixample,6,la Sagrada Família,Castella i Lleó,44
2016,2,Eixample,7,la Dreta de l'Eixample,Castella i Lleó,28
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Castella i Lleó,22
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Castella i Lleó,33
2016,2,Eixample,10,Sant Antoni,Castella i Lleó,21
2016,3,Sants-Montjuïc,11,el Poble Sec,Castella i Lleó,24
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Castella i Lleó,0
2016,3,Sants-Montjuïc,13,la Marina de Port,Castella i Lleó,14
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Castella i Lleó,6
2016,3,Sants-Montjuïc,15,Hostafrancs,Castella i Lleó,13
2016,3,Sants-Montjuïc,16,la Bordeta,Castella i Lleó,9
2016,3,Sants-Montjuïc,17,Sants - Badal,Castella i Lleó,12
2016,3,Sants-Montjuïc,18,Sants,Castella i Lleó,27
2016,4,Les Corts,19,les Corts,Castella i Lleó,19
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Castella i Lleó,12
2016,4,Les Corts,21,Pedralbes,Castella i Lleó,6
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Castella i Lleó,0
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Castella i Lleó,2
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Castella i Lleó,3
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Castella i Lleó,9
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Castella i Lleó,9
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Castella i Lleó,9
2016,6,Gràcia,28,Vallcarca i els Penitents,Castella i Lleó,11
