Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloc_procedencia,Nombre
2017,8,Nou Barris,53,la Trinitat Nova,Cantàbria,0
2017,8,Nou Barris,54,Torre Baró,Cantàbria,0
2017,8,Nou Barris,55,Ciutat Meridiana,Cantàbria,0
2017,8,Nou Barris,56,Vallbona,Cantàbria,0
2017,9,Sant Andreu,57,la Trinitat Vella,Cantàbria,1
2017,9,Sant Andreu,58,Baró de Viver,Cantàbria,0
2017,9,Sant Andreu,59,el Bon Pastor,Cantàbria,0
2017,9,Sant Andreu,60,Sant Andreu,Cantàbria,2
2017,9,Sant Andreu,61,la Sagrera,Cantàbria,6
2017,9,Sant Andreu,62,el Congrés i els Indians,Cantàbria,0
2017,9,Sant Andreu,63,Navas,Cantàbria,2
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Cantàbria,2
2017,10,Sant Martí,65,el Clot,Cantàbria,1
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Cantàbria,3
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Cantàbria,0
2017,10,Sant Martí,68,el Poblenou,Cantàbria,1
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Cantàbria,1
2017,10,Sant Martí,70,el Besòs i el Maresme,Cantàbria,1
2017,10,Sant Martí,71,Provençals del Poblenou,Cantàbria,2
2017,10,Sant Martí,72,Sant Martí de Provençals,Cantàbria,3
2017,10,Sant Martí,73,la Verneda i la Pau,Cantàbria,2
2017,99,No consta,99,No consta,Cantàbria,0
2017,1,Ciutat Vella,1,el Raval,Castella i Lleó,31
2017,1,Ciutat Vella,2,el Barri Gòtic,Castella i Lleó,12
2017,1,Ciutat Vella,3,la Barceloneta,Castella i Lleó,6
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Castella i Lleó,12
2017,2,Eixample,5,el Fort Pienc,Castella i Lleó,16
2017,2,Eixample,6,la Sagrada Família,Castella i Lleó,36
2017,2,Eixample,7,la Dreta de l'Eixample,Castella i Lleó,32
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Castella i Lleó,23
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Castella i Lleó,54
2017,2,Eixample,10,Sant Antoni,Castella i Lleó,27
2017,3,Sants-Montjuïc,11,el Poble Sec,Castella i Lleó,27
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Castella i Lleó,1
2017,3,Sants-Montjuïc,13,la Marina de Port,Castella i Lleó,15
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Castella i Lleó,10
2017,3,Sants-Montjuïc,15,Hostafrancs,Castella i Lleó,7
2017,3,Sants-Montjuïc,16,la Bordeta,Castella i Lleó,13
2017,3,Sants-Montjuïc,17,Sants - Badal,Castella i Lleó,16
2017,3,Sants-Montjuïc,18,Sants,Castella i Lleó,30
2017,4,Les Corts,19,les Corts,Castella i Lleó,21
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Castella i Lleó,10
2017,4,Les Corts,21,Pedralbes,Castella i Lleó,9
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Castella i Lleó,3
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Castella i Lleó,10
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Castella i Lleó,3
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Castella i Lleó,8
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Castella i Lleó,16
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Castella i Lleó,11
2017,6,Gràcia,28,Vallcarca i els Penitents,Castella i Lleó,2
2017,6,Gràcia,29,el Coll,Castella i Lleó,3
2017,6,Gràcia,30,la Salut,Castella i Lleó,6
2017,6,Gràcia,31,la Vila de Gràcia,Castella i Lleó,42
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Castella i Lleó,13
2017,7,Horta-Guinardó,33,el Baix Guinardó,Castella i Lleó,10
2017,7,Horta-Guinardó,34,Can Baró,Castella i Lleó,3
2017,7,Horta-Guinardó,35,el Guinardó,Castella i Lleó,11
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Castella i Lleó,4
2017,7,Horta-Guinardó,37,el Carmel,Castella i Lleó,13
2017,7,Horta-Guinardó,38,la Teixonera,Castella i Lleó,8
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Castella i Lleó,5
2017,7,Horta-Guinardó,40,Montbau,Castella i Lleó,3
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Castella i Lleó,1
2017,7,Horta-Guinardó,42,la Clota,Castella i Lleó,0
2017,7,Horta-Guinardó,43,Horta,Castella i Lleó,9
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Castella i Lleó,12
2017,8,Nou Barris,45,Porta,Castella i Lleó,11
2017,8,Nou Barris,46,el Turó de la Peira,Castella i Lleó,8
